"Predator.lifestage","Type.of.feeding.interaction","Location","R_sqaured","Intercept","Slope","pValue","F_statistics_value"
"juvenile","piscivorous","Off the Bay of Biscay","0.499991796105687","5559.99999999962","-1.96797521586126e-11","7.6945782289121e-17","2976.90230962941"
"juvenile","predacious","Off the Bay of Biscay","0.499894657185999","5560.00000000005","-2.74768666340404e-14","0.802766014693955","599.747230501298"
"adult","piscivorous","Off the Bay of Biscay","0.202948633663864","88678.7053828189","120.756555830182","2.70482591554995e-19","90.6462451930184"
"adult","predacious","Off the Bay of Biscay","0.048924030984617","114065.246976831","47.5990438892656","1.18524246776343e-06","24.2285783096911"
"adult","piscivorous","Great South Bay, Long Island, New York","0.30716099416389","14.5631853115677","5.44632116641699","2.58826202946318e-25","130.784341694212"
"larva / juvenile","predacious","Strait of Georgia","0.125798764666407","1.5796281766769","163.488716538756","2.92553502100992e-15","66.7702405876136"
"larva / juvenile","planktivorous","Strait of Georgia","0.0281834521378093","0.41201753189867","100348.136755092","0.0668312825188673","3.42209376818833"
"larva / juvenile","piscivorous","Strait of Georgia","0.232313578702393","9.86483143239672","172.511898493461","0.133275952079355","2.72353678574574"
"larva / juvenile","insectivorous","Strait of Georgia","0.621254577117463","-3.45975627178894","81.1591380069623","8.51926669047012e-08","49.2088780154159"
"adult","piscivorous","Europe, Celtic Sea ecosystem","0.198903821461407","791.833537668487","12.9897337832027","9.78120093068276e-103","518.67690068236"
"postlarva/juvenile","predacious","Antarctic Peninsula","0.046276154857748","0.565541752418578","1.7461898824416","1.32011188235226e-07","28.5306686992787"
"postlarva/juvenile","planktivorous","Antarctic Peninsula","0.0763315504427213","0.153516129748767","21012.870102476","5.19518130117455e-06","21.65156363799"
"postlarva/juvenile","piscivorous","Antarctic Peninsula","0","1.28","0.12","NA","list(NULL)"
"postlarva","predacious","Antarctic Peninsula","0.0105760559264123","0.133502073567387","-0.00861452759101591","0.389989666306616","0.748237314533598"
"postlarva","piscivorous","Antarctic Peninsula","0.605743142370175","0.0382407206914082","0.582050921513236","9.72722953165703e-08","47.6289430356757"
"larva","planktivorous","Antarctic Peninsula","0.221369106173468","-0.175620190172289","303412.255984306","5.62223327400241e-19","90.1248681671541"
"larva","predacious","Antarctic Peninsula","0.584817618894892","0.139792754561369","26559.9921959298","5.83367592355081e-183","1333.92530679971"
"juvenile","predacious","Oxwich Bay, Wales","0.12689726865344","0.29675463293898","20.0072558960934","1.25359043318078e-40","190.832198503148"
"larva","planktivorous","Greenland","0.213201494276038","0.012841847290578","0.0224934241833164","0.0008389808356283","12.7357514764896"
"adult","predacious","Eastern Mediterranean","0.0409025332597782","3.38884414664005","4.66995038979444","0.00257932032982749","9.2970240875913"
"adult","planktivorous","Eastern Mediterranean","0.00558551413718179","2.36210526315787","49.6789473684212","0.75416813649542","0.101103972134957"
"adult","piscivorous","Eastern Mediterranean","0.352890346819133","167.83104888295","2.10178811132542","1.81489474211431e-13","68.1666439923474"
