Individual	DateOfCapture	LitterSize	Size	Hornlength	Bodymass	Glizz	SexualActivity	Sex	Family
8	23	4	0.881054207	1.530093417	-0.715530465	0.881054207	4	female	Hardhoof
8	52	4	-0.328456323	-0.258653761	-0.124230158	-0.328456323	2	female	Hardhoof
8	72	4	-0.513133639	-0.914980171	-0.443082119	-0.513133639	1	female	Hardhoof
8	81	4	-0.530721283	-0.067054644	0.044828989	-0.530721283	2	female	Hardhoof
8	93	4	0.232679947	-0.436399323	-0.414833237	0.232679947	2	female	Hardhoof
9	7	4	0.39389803	1.209975598	0.317870525	0.39389803	3	female	Hardhoof
9	21	4	0.876521526	1.977623862	1.751012099	0.876521526	4	female	Hardhoof
9	42	4	-1.932468947	-0.176036826	-1.54281461	-1.932468947	2	female	Hardhoof
9	68	4	1.244772355	1.718414285	1.266313732	1.244772355	4	female	Hardhoof
9	89	4	-1.773993398	0.532931723	-1.490311436	-1.773993398	3	female	Hardhoof
15	97	4	-1.407233045	2.087598432	-0.207346145	-1.407233045	4	female	Ravenblack
16	44	4	-0.093149171	0.866181951	1.725601182	-0.093149171	3	female	Ravenblack
16	63	4	-1.913575812	-0.102512508	1.804895382	-1.913575812	2	female	Ravenblack
16	77	4	-1.212720109	0.443795694	1.564369898	-1.212720109	2	female	Ravenblack
16	83	4	0.487348307	0.798978466	1.183607503	0.487348307	3	female	Ravenblack
19	14	4	-0.856576894	0.409072202	1.245712461	-0.856576894	2	female	Ravenblack
19	20	4	-0.26261684	0.868114935	1.517894437	-0.26261684	3	female	Ravenblack
19	74	4	-1.362051887	0.0459885	1.027783537	-1.362051887	2	female	Ravenblack
34	1	4	-0.46564743	2.179235276	-0.571321191	-0.46564743	4	female	McBludgeon
38	77	4	-2.238934739	0.443795694	-1.377118549	-2.238934739	2	female	McBludgeon
41	97	4	0.857623191	2.087598432	0.824381962	0.857623191	4	female	Littlehorn
42	26	4	-1.677279771	0.472105747	-0.802843549	-1.677279771	2	female	Littlehorn
42	32	4	-0.846046598	0.231879327	-0.85660288	-0.846046598	2	female	Littlehorn
42	59	4	-0.870973627	0.773047891	-0.681241075	-0.870973627	3	female	Littlehorn
44	97	4	-1.129844692	2.087598432	0.437803111	-1.129844692	4	female	Littlehorn
1	10	5	0.24605287	-0.919341637	1.628018455	0.24605287	1	female	Hardhoof
1	36	5	0.680812382	-0.774441348	1.327519016	0.680812382	1	female	Hardhoof
1	40	5	-0.409532862	-0.560295417	0.33664785	-0.409532862	1	female	Hardhoof
1	64	5	-0.365952811	-0.582363557	0.994910595	-0.365952811	1	female	Hardhoof
1	65	5	-0.308051882	-0.490006807	0.61183215	-0.308051882	2	female	Hardhoof
2	12	5	-0.113127975	-2.247798349	-0.043266094	-0.113127975	0	female	Hardhoof
2	30	5	1.342013389	-1.192432906	0.178004384	1.342013389	1	female	Hardhoof
2	88	5	0.037162701	-0.994729783	-0.513122837	0.037162701	1	female	Hardhoof
3	39	5	1.586249972	-2.017371739	-2.549821259	1.586249972	0	female	Hardhoof
4	93	5	-0.703734909	-0.436399323	-1.918743953	-0.703734909	2	female	Hardhoof
4	24	5	-0.726912573	-0.918075332	-1.806817885	-0.726912573	1	female	Hardhoof
4	53	5	-1.832718615	-0.724374909	-1.39629758	-1.832718615	1	female	Hardhoof
5	4	5	0.839962711	1.011732536	-0.225631032	0.839962711	3	female	Hardhoof
5	5	5	2.021830784	1.445907095	0.51510802	2.021830784	3	female	Hardhoof
5	41	5	0.120810564	0.842550021	-0.635773469	0.120810564	3	female	Hardhoof
5	46	5	0.077506845	0.727785292	-0.612759768	0.077506845	3	female	Hardhoof
5	50	5	1.222906043	1.226620373	-0.047008455	1.222906043	3	female	Hardhoof
5	59	5	1.59620769	0.773047891	-0.090913916	1.59620769	3	female	Hardhoof
5	86	5	-0.182843234	0.208683279	-0.600465763	-0.182843234	2	female	Hardhoof
6	54	5	-0.168754233	-2.266015122	-1.1404608	-0.168754233	0	female	Hardhoof
7	15	5	0.31881697	-0.615829344	-1.946876463	0.31881697	1	female	Hardhoof
7	16	5	-0.483858547	-0.93606162	-2.155005624	-0.483858547	1	female	Hardhoof
7	42	5	0.156210873	-0.176036826	-1.216792121	0.156210873	2	female	Hardhoof
7	63	5	0.679838406	-0.102512508	-1.717892313	0.679838406	2	female	Hardhoof
7	79	5	-0.01403859	-0.879103193	-2.149087718	-0.01403859	1	female	Hardhoof
7	98	5	-0.675092149	-0.502208137	-1.828484118	-0.675092149	1	female	Hardhoof
8	27	5	1.527415401	-0.693365875	-0.762130314	1.527415401	1	female	Hardhoof
8	45	5	1.139906313	-0.472798559	-0.73434119	1.139906313	2	female	Hardhoof
8	58	5	0.193900067	-1.101739144	-0.206013224	0.193900067	1	female	Hardhoof
8	61	5	0.084774933	-1.72273929	0.066406652	0.084774933	0	female	Hardhoof
8	68	5	2.56424203	1.718414285	-2.077503121	2.56424203	4	female	Hardhoof
8	71	5	0.172333041	-0.545369656	-0.245850449	0.172333041	1	female	Hardhoof
9	15	5	-1.274449791	-0.615829344	-1.430859791	-1.274449791	1	female	Hardhoof
9	17	5	0.931913306	0.870486354	0.417150458	0.931913306	3	female	Hardhoof
9	23	5	2.056181445	1.530093417	1.588915641	2.056181445	4	female	Hardhoof
9	40	5	-0.677743193	-0.560295417	-1.439333407	-0.677743193	1	female	Hardhoof
9	41	5	0.517310398	0.842550021	-0.248883598	0.517310398	3	female	Hardhoof
9	48	5	-0.1923851	-0.0686455	-1.232229059	-0.1923851	2	female	Hardhoof
9	72	5	-1.064077125	-0.914980171	-1.644445349	-1.064077125	1	female	Hardhoof
10	22	5	-0.404195756	2.074652479	0.151557333	-0.404195756	4	female	Hardhoof
10	23	5	-1.144358834	1.530093417	-0.215475896	-1.144358834	4	female	Hardhoof
10	80	5	0.843921759	1.479331747	0.139345963	0.843921759	3	female	Hardhoof
11	23	5	0.095432576	1.530093417	3.027294131	0.095432576	4	female	Ravenblack
11	35	5	-1.705896227	0.327640741	1.390301152	-1.705896227	2	female	Ravenblack
11	59	5	-1.236463659	0.773047891	2.001697712	-1.236463659	3	female	Ravenblack
11	67	5	0.054432982	1.548167008	3.433423397	0.054432982	4	female	Ravenblack
12	21	5	0.611422114	1.977623862	4.653338437	0.611422114	4	female	Ravenblack
12	50	5	-0.65546689	1.226620373	3.666190729	-0.65546689	3	female	Ravenblack
12	97	5	0.177464257	2.087598432	4.985952379	0.177464257	4	female	Ravenblack
13	6	5	0.798205377	0.53526369	0.788355943	0.798205377	3	female	Ravenblack
13	20	5	1.363974995	0.868114935	0.821423452	1.363974995	3	female	Ravenblack
13	22	5	-1.070180373	2.074652479	1.598018973	-1.070180373	4	female	Ravenblack
13	43	5	-0.751529968	1.169346301	0.958967589	-0.751529968	3	female	Ravenblack
13	59	5	0.458761602	0.773047891	1.030799164	0.458761602	3	female	Ravenblack
13	60	5	-1.165134554	0.136744878	1.161352107	-1.165134554	2	female	Ravenblack
13	67	5	-0.887684452	1.548167008	1.189103522	-0.887684452	4	female	Ravenblack
13	69	5	-0.453364578	0.866648514	0.963935281	-0.453364578	3	female	Ravenblack
13	92	5	-1.949234856	0.229433234	0.655102483	-1.949234856	2	female	Ravenblack
15	46	5	-2.253788262	0.727785292	-0.289313206	-2.253788262	3	female	Ravenblack
16	6	5	0.369688287	0.53526369	1.701755975	0.369688287	3	female	Ravenblack
16	51	5	-0.12772654	0.221045334	1.150677279	-0.12772654	2	female	Ravenblack
16	64	5	-1.668393497	-0.582363557	1.765529621	-1.668393497	1	female	Ravenblack
16	74	5	-0.622771805	0.0459885	1.881071954	-0.622771805	2	female	Ravenblack
16	95	5	0.470192887	0.901495318	1.575755439	0.470192887	3	female	Ravenblack
18	21	5	-1.008595613	1.977623862	1.769148764	-1.008595613	4	female	Ravenblack
18	67	5	-1.211567944	1.548167008	1.804487793	-1.211567944	4	female	Ravenblack
19	30	5	-1.304445625	-1.192432906	0.180623387	-1.304445625	1	female	Ravenblack
19	45	5	-0.191156053	-0.472798559	0.611709948	-0.191156053	2	female	Ravenblack
19	72	5	-0.69325535	-0.914980171	0.355230273	-0.69325535	1	female	Ravenblack
19	90	5	0.97565526	0.996396813	1.252476602	0.97565526	3	female	Ravenblack
19	92	5	0.351888973	0.229433234	0.981354863	0.351888973	2	female	Ravenblack
20	4	5	-0.381889456	1.011732536	0.558105181	-0.381889456	3	female	Ravenblack
20	19	5	-1.216985612	0.190322725	-0.502269361	-1.216985612	2	female	Ravenblack
20	29	5	-0.667150037	0.890028378	0.20524334	-0.667150037	3	female	Ravenblack
20	41	5	-0.046959384	0.842550021	0.492949134	-0.046959384	3	female	Ravenblack
20	44	5	-1.048506077	0.866181951	0.115586824	-1.048506077	3	female	Ravenblack
20	46	5	0.63253446	0.727785292	0.085998567	0.63253446	3	female	Ravenblack
20	52	5	-1.930567899	-0.258653761	-0.266119136	-1.930567899	2	female	Ravenblack
20	56	5	-0.389137631	0.452232528	0.178433499	-0.389137631	2	female	Ravenblack
20	89	5	-0.3344067	0.532931723	0.223573792	-0.3344067	3	female	Ravenblack
31	67	5	-0.501859614	1.548167008	1.855009785	-0.501859614	4	female	McBludgeon
32	97	5	-0.537522124	2.087598432	-0.58136743	-0.537522124	4	female	McBludgeon
33	20	5	-1.278587094	0.868114935	-0.178103729	-1.278587094	3	female	McBludgeon
33	32	5	-1.350578867	0.231879327	-0.133339693	-1.350578867	2	female	McBludgeon
33	48	5	-0.584907901	-0.0686455	0.006807959	-0.584907901	2	female	McBludgeon
33	92	5	-1.000285618	0.229433234	0.333277364	-1.000285618	2	female	McBludgeon
34	46	5	-1.505537149	0.727785292	0.138396599	-1.505537149	3	female	McBludgeon
34	80	5	0.620214839	1.479331747	-0.831637999	0.620214839	3	female	McBludgeon
36	67	5	-1.547194665	1.548167008	-1.532520628	-1.547194665	4	female	McBludgeon
36	68	5	-0.795576987	1.718414285	-1.232081604	-0.795576987	4	female	McBludgeon
38	31	5	-1.422592731	0.426233575	-0.927397403	-1.422592731	2	female	McBludgeon
38	97	5	0.593659204	2.087598432	2.325893608	0.593659204	4	female	McBludgeon
39	43	5	-1.480703162	1.169346301	-0.607290293	-1.480703162	3	female	McBludgeon
40	4	5	-1.443264541	1.011732536	3.312713443	-1.443264541	3	female	McBludgeon
40	7	5	0.278268409	1.209975598	2.458384991	0.278268409	3	female	McBludgeon
40	9	5	-1.064757702	0.916977091	2.985130099	-1.064757702	3	female	McBludgeon
40	18	5	-0.141583295	1.420853205	3.194981392	-0.141583295	3	female	McBludgeon
40	22	5	0.970196649	2.074652479	3.289147833	0.970196649	4	female	McBludgeon
40	80	5	-0.786186097	1.479331747	3.652652166	-0.786186097	3	female	McBludgeon
41	9	5	0.198752378	0.916977091	0.290828447	0.198752378	3	female	Littlehorn
41	29	5	0.637089044	0.890028378	0.209212778	0.637089044	3	female	Littlehorn
41	47	5	-0.507892762	0.322152436	0.13639523	-0.507892762	2	female	Littlehorn
41	50	5	0.206051068	1.226620373	0.442452906	0.206051068	3	female	Littlehorn
41	56	5	-1.322318049	0.452232528	-0.368122411	-1.322318049	2	female	Littlehorn
41	62	5	-1.301510342	0.541148142	-0.005765579	-1.301510342	3	female	Littlehorn
41	67	5	1.135012035	1.548167008	0.686207766	1.135012035	4	female	Littlehorn
42	7	5	-0.349059005	1.209975598	-0.202386477	-0.349059005	3	female	Littlehorn
42	8	5	0.757667159	0.584713161	-0.286727091	0.757667159	3	female	Littlehorn
42	44	5	0.304216312	0.866181951	-0.198093807	0.304216312	3	female	Littlehorn
42	45	5	-0.828442837	-0.472798559	-0.53745495	-0.828442837	2	female	Littlehorn
42	58	5	-1.274028022	-1.101739144	-1.057151445	-1.274028022	1	female	Littlehorn
42	67	5	0.631475021	1.548167008	0.11452977	0.631475021	4	female	Littlehorn
44	50	5	-0.492497568	1.226620373	-0.196774985	-0.492497568	3	female	Littlehorn
44	56	5	0.073178782	0.452232528	0.036107174	0.073178782	2	female	Littlehorn
44	71	5	-1.204755748	-0.545369656	1.414690806	-1.204755748	1	female	Littlehorn
1	16	6	1.323518122	-0.93606162	1.512416889	1.323518122	1	female	Hardhoof
1	33	6	1.054369804	-1.557927001	1.859033534	1.054369804	0	female	Hardhoof
1	73	6	0.643709758	-1.63257165	1.739758745	0.643709758	0	female	Hardhoof
1	85	6	1.871549855	-0.762366823	1.67119007	1.871549855	1	female	Hardhoof
1	100	6	0.275653266	-0.723699562	1.163201297	0.275653266	1	female	Hardhoof
4	70	6	-0.221827373	-1.38035652	-1.984519473	-0.221827373	1	female	Hardhoof
4	3	6	0.116066928	-1.704059553	-2.142976682	0.116066928	0	female	Hardhoof
4	33	6	-0.351281847	-1.557927001	-2.016702607	-0.351281847	0	female	Hardhoof
5	13	6	0.305435127	-0.871037282	-0.776078193	0.305435127	1	female	Hardhoof
5	28	6	0.048917565	-0.920010942	-1.049901589	0.048917565	1	female	Hardhoof
5	30	6	0.427103506	-1.192432906	-0.737835144	0.427103506	1	female	Hardhoof
5	36	6	0.95312059	-0.774441348	-0.266712018	0.95312059	1	female	Hardhoof
5	42	6	1.276876999	-0.176036826	-0.318751472	1.276876999	2	female	Hardhoof
5	70	6	-0.478908069	-1.38035652	-1.096796577	-0.478908069	1	female	Hardhoof
5	71	6	-1.30211179	-0.545369656	-1.062860992	-1.30211179	1	female	Hardhoof
5	72	6	0.008325117	-0.914980171	-0.651426953	0.008325117	1	female	Hardhoof
5	75	6	0.696447792	-0.834672886	-0.444640812	0.696447792	1	female	Hardhoof
5	76	6	-1.531622748	-0.619058622	-0.812899494	-1.531622748	1	female	Hardhoof
5	88	6	-0.306187153	-0.994729783	-1.208134569	-0.306187153	1	female	Hardhoof
6	70	6	2.497146788	-1.38035652	-0.85460566	2.497146788	1	female	Hardhoof
7	87	6	0.678431	-0.87651321	-2.236479794	0.678431	1	female	Hardhoof
7	93	6	1.180728592	-0.436399323	-2.021041423	1.180728592	2	female	Hardhoof
8	3	6	0.637738876	-1.704059553	-0.178818177	0.637738876	0	female	Hardhoof
9	25	6	0.793022301	-0.012874037	-0.764617604	0.793022301	2	female	Hardhoof
9	28	6	-0.404533417	-0.920010942	-1.650482782	-0.404533417	1	female	Hardhoof
9	36	6	-0.544687161	-0.774441348	-1.771137059	-0.544687161	1	female	Hardhoof
9	58	6	0.173652835	-1.101739144	-1.36116128	0.173652835	1	female	Hardhoof
9	64	6	0.021918309	-0.582363557	-1.135962241	0.021918309	1	female	Hardhoof
9	71	6	0.496898638	-0.545369656	-1.052246226	0.496898638	1	female	Hardhoof
9	87	6	0.494834453	-0.87651321	-1.043348968	0.494834453	1	female	Hardhoof
10	2	6	0.588410853	0.658228758	-0.572002482	0.588410853	3	female	Hardhoof
10	4	6	-1.072492905	1.011732536	-0.610483449	-1.072492905	3	female	Hardhoof
10	20	6	-1.254447871	0.868114935	-1.014925341	-1.254447871	3	female	Hardhoof
10	53	6	1.947794232	-0.724374909	-1.115510039	1.947794232	1	female	Hardhoof
10	57	6	-2.020066059	-0.520800496	-1.490871615	-2.020066059	1	female	Hardhoof
10	60	6	1.263300486	0.136744878	-0.556941587	1.263300486	2	female	Hardhoof
10	71	6	-1.039500252	-0.545369656	-1.540640703	-1.039500252	1	female	Hardhoof
10	81	6	1.344024441	-0.067054644	-0.407219505	1.344024441	2	female	Hardhoof
10	92	6	1.719072598	0.229433234	-0.491989715	1.719072598	2	female	Hardhoof
10	98	6	-0.42073814	-0.502208137	-1.689261707	-0.42073814	1	female	Hardhoof
11	25	6	-0.356804959	-0.012874037	1.253622434	-0.356804959	2	female	Ravenblack
11	44	6	-0.390776775	0.866181951	2.264351844	-0.390776775	3	female	Ravenblack
11	45	6	-0.701483661	-0.472798559	0.088007368	-0.701483661	2	female	Ravenblack
11	51	6	-0.15282418	0.221045334	1.564454839	-0.15282418	2	female	Ravenblack
11	52	6	-1.542094616	-0.258653761	0.895471987	-1.542094616	2	female	Ravenblack
11	56	6	0.007234972	0.452232528	1.844279217	0.007234972	2	female	Ravenblack
11	81	6	-0.771434787	-0.067054644	0.975592895	-0.771434787	2	female	Ravenblack
11	86	6	-0.759936615	0.208683279	1.258359015	-0.759936615	2	female	Ravenblack
11	91	6	-0.768577931	-0.608937831	0.265811826	-0.768577931	1	female	Ravenblack
12	11	6	1.367288177	0.315073242	1.679902562	1.367288177	2	female	Ravenblack
12	30	6	0.228249349	-1.192432906	-0.93947508	0.228249349	1	female	Ravenblack
12	46	6	-0.262406093	0.727785292	2.670336126	-0.262406093	3	female	Ravenblack
12	49	6	0.279515781	1.44919978	4.066258594	0.279515781	3	female	Ravenblack
12	56	6	-0.122076803	0.452232528	2.472754883	-0.122076803	2	female	Ravenblack
12	63	6	0.260921284	-0.102512508	0.799866664	0.260921284	2	female	Ravenblack
12	71	6	-0.301871832	-0.545369656	0.521816506	-0.301871832	1	female	Ravenblack
12	81	6	0.138396466	-0.067054644	0.902996263	0.138396466	2	female	Ravenblack
12	84	6	0.439317064	0.288380761	1.807360611	0.439317064	2	female	Ravenblack
12	96	6	-0.220785267	-0.679281143	-0.257684555	-0.220785267	1	female	Ravenblack
13	42	6	0.268257383	-0.176036826	0.353121235	0.268257383	2	female	Ravenblack
13	71	6	-0.023285998	-0.545369656	-0.030522204	-0.023285998	1	female	Ravenblack
13	81	6	-0.247342547	-0.067054644	0.980640753	-0.247342547	2	female	Ravenblack
13	98	6	-1.166719333	-0.502208137	0.568442951	-1.166719333	1	female	Ravenblack
14	10	6	-1.234216008	-0.919341637	-0.465772097	-1.234216008	1	female	Ravenblack
14	17	6	0.178771575	0.870486354	1.07392153	0.178771575	3	female	Ravenblack
14	35	6	-0.585627449	0.327640741	0.448847889	-0.585627449	2	female	Ravenblack
14	69	6	-0.812651948	0.866648514	0.586224531	-0.812651948	3	female	Ravenblack
14	85	6	-1.047809376	-0.762366823	-0.586807464	-1.047809376	1	female	Ravenblack
15	2	6	0.704791883	0.658228758	0.526001401	0.704791883	3	female	Ravenblack
15	6	6	0.298152229	0.53526369	0.368519348	0.298152229	3	female	Ravenblack
15	17	6	0.195631794	0.870486354	0.655837152	0.195631794	3	female	Ravenblack
15	23	6	1.185611002	1.530093417	0.625479337	1.185611002	4	female	Ravenblack
15	32	6	-0.503717242	0.231879327	0.540251934	-0.503717242	2	female	Ravenblack
15	48	6	-2.009335098	-0.0686455	0.117479682	-2.009335098	2	female	Ravenblack
15	51	6	0.191249477	0.221045334	0.648325682	0.191249477	2	female	Ravenblack
15	69	6	-0.015177741	0.866648514	0.010571653	-0.015177741	3	female	Ravenblack
15	80	6	0.631212123	1.479331747	0.011575917	0.631212123	3	female	Ravenblack
